1.74E+02,1.00E+00
1.77E+02,1.00E+00
1.84E+02,1.00E+00
1.88E+02,1.00E+00
1.92E+02,1.00E+00
1.96E+02,1.00E+00
2.01E+02,1.00E+00
2.06E+02,1.00E+00
2.13E+02,1.00E+00
2.18E+02,1.00E+00
2.23E+02,1.00E+00
2.28E+02,1.00E+00
2.33E+02,1.00E+00
2.38E+02,1.00E+00
2.43E+02,1.00E+00
2.50E+02,2.00E+00
2.55E+02,2.00E+00
2.62E+02,3.00E+00
2.71E+02,3.00E+00
2.77E+02,4.00E+00
2.87E+02,5.00E+00
2.94E+02,7.00E+00
3.02E+02,8.00E+00
3.07E+02,1.00E+01
3.16E+02,1.20E+01
3.22E+02,1.40E+01
3.31E+02,1.80E+01
3.38E+02,2.20E+01
3.49E+02,2.80E+01
3.58E+02,3.50E+01
3.67E+02,4.30E+01
3.73E+02,5.00E+01
3.78E+02,5.80E+01
3.86E+02,6.80E+01
3.92E+02,7.90E+01
4.00E+02,9.40E+01
4.07E+02,1.12E+02
4.15E+02,1.33E+02
4.22E+02,1.59E+02
4.30E+02,1.85E+02
4.38E+02,2.22E+02
4.48E+02,2.77E+02
4.59E+02,3.51E+02
4.66E+02,4.07E+02
4.74E+02,4.82E+02
4.81E+02,5.49E+02
4.89E+02,6.42E+02
4.95E+02,7.41E+02
5.02E+02,8.55E+02
5.10E+02,1.02E+03
5.18E+02,1.22E+03
5.26E+02,1.42E+03
5.36E+02,1.71E+03
5.44E+02,2.00E+03
5.51E+02,2.30E+03
5.59E+02,2.63E+03
5.64E+02,2.97E+03
5.73E+02,3.48E+03
5.82E+02,3.96E+03
5.89E+02,4.56E+03
5.98E+02,5.13E+03
6.04E+02,5.98E+03
6.13E+02,6.94E+03
6.21E+02,7.77E+03
6.28E+02,8.64E+03
6.35E+02,9.90E+03
6.44E+02,1.11E+04
6.50E+02,1.25E+04
6.59E+02,1.45E+04
6.68E+02,1.64E+04
6.75E+02,1.82E+04
6.83E+02,1.99E+04
6.90E+02,2.26E+04
6.98E+02,2.47E+04
7.06E+02,2.73E+04
7.14E+02,3.00E+04
7.21E+02,3.33E+04
7.29E+02,3.64E+04
7.37E+02,4.00E+04
7.44E+02,4.34E+04
7.52E+02,4.74E+04
7.60E+02,5.13E+04
7.68E+02,5.59E+04
7.75E+02,6.00E+04
7.84E+02,6.38E+04
7.90E+02,7.09E+04
7.99E+02,7.36E+04
8.06E+02,8.06E+04
8.15E+02,8.48E+04
8.22E+02,9.16E+04
8.30E+02,9.74E+04
8.37E+02,1.05E+05
8.46E+02,1.11E+05
8.53E+02,1.20E+05
8.61E+02,1.27E+05
8.68E+02,1.35E+05
8.77E+02,1.42E+05
8.85E+02,1.53E+05
8.93E+02,1.62E+05
9.00E+02,1.69E+05
9.08E+02,1.80E+05
9.15E+02,1.87E+05
9.24E+02,1.98E+05
9.31E+02,2.05E+05
9.40E+02,2.16E+05
9.47E+02,2.24E+05
9.55E+02,2.34E+05
9.63E+02,2.43E+05
9.71E+02,2.55E+05
9.77E+02,2.63E+05
9.86E+02,2.73E+05
1.00E+03,2.80E+05
1.02E+03,3.69E+05
1.04E+03,4.06E+05
1.06E+03,4.45E+05
1.08E+03,4.87E+05
1.10E+03,5.31E+05
1.12E+03,5.78E+05
1.14E+03,6.27E+05
1.16E+03,6.79E+05
1.18E+03,7.34E+05
1.20E+03,7.92E+05
1.22E+03,8.53E+05
1.24E+03,9.17E+05
1.26E+03,9.83E+05
1.28E+03,1.05E+06
1.30E+03,1.13E+06
1.32E+03,1.20E+06
1.34E+03,1.28E+06
1.36E+03,1.37E+06
1.38E+03,1.45E+06
1.40E+03,1.54E+06
1.42E+03,1.64E+06
1.44E+03,1.73E+06
1.46E+03,1.84E+06
1.48E+03,1.94E+06
1.50E+03,2.05E+06
1.52E+03,2.16E+06
1.54E+03,2.28E+06
1.56E+03,2.40E+06
1.58E+03,2.53E+06
1.60E+03,2.66E+06
1.62E+03,2.79E+06
1.64E+03,2.93E+06
1.66E+03,3.08E+06
1.68E+03,3.22E+06
1.70E+03,3.38E+06
1.72E+03,3.53E+06
1.74E+03,3.70E+06
1.76E+03,3.86E+06
1.78E+03,4.04E+06
1.80E+03,4.21E+06
1.82E+03,4.40E+06
1.84E+03,4.58E+06
1.86E+03,4.78E+06
1.88E+03,4.97E+06
1.90E+03,5.18E+06
1.92E+03,5.38E+06
1.94E+03,5.60E+06
1.96E+03,5.82E+06
1.98E+03,6.04E+06
2.00E+03,6.28E+06
